provider,model,prompt,ttft_s,total_s,chars_per_s
local,llama3.2:3b,short,3.564,11.857,11.8
local,llama3.2:3b,medium,3.488,20.601,15.8
local,llama3.2:3b,long,3.529,156.6,15.7
cloud,gemini-3.6-flash,short,1.847,1.984,19.6
cloud,gemini-3.6-flash,medium,5.776,6.552,82.6
cloud,gemini-3.6-flash,long,7.841,14.749,241.9
