provider,model,prompt,ttft_s,total_s,chars_per_s
local,llama3.2:3b,short,2.13,2.975,13.1
local,llama3.2:3b,medium,2.139,6.493,50.1
local,llama3.2:3b,long,2.148,39.363,63.3
cloud,gemini-3.1-flash-lite,short,1.033,1.037,27.0
cloud,gemini-3.1-flash-lite,medium,1.015,1.62,317.7
cloud,gemini-3.1-flash-lite,long,1.329,5.152,678.7
