provider,model,prompt,ttft_s,total_s,chars_per_s
llama,llama3.2:3b,short,2.17,2.869,9.1
llama,llama3.2:3b,medium,2.179,7.172,42.8
llama,llama3.2:3b,long,2.174,40.124,41.8
qwen,qwen3:4b,short,35.146,49.448,5.6
qwen,qwen3:4b,medium,219.263,231.498,1.2
qwen,qwen3:4b,long,251.669,308.022,4.4
