provider,model,prompt,ttft_s,total_s,chars_per_s
local,llama3.2:3b,short,2.057,2.173,16.1
local,llama3.2:3b,medium,2.07,2.708,97.6
local,llama3.2:3b,long,2.099,8.281,264.9
cloud,gemini-3.5-flash-lite,short,0.686,0.838,72.5
cloud,gemini-3.5-flash-lite,medium,0.607,1.195,367.3
cloud,gemini-3.5-flash-lite,long,0.636,4.785,695.8
